Year,Precipitation (mm)
1853,870.4
1854,602.5
1855,632.8
1856,827.6
1857,708.8
1858,637.8
1859,936.9
1860,1036.4
1861,809.6
1862,847.4
1863,833.6
1864,589.5
1865,914.4
1866,1044.2
1867,862.1
1868,859.8
1869,910.1
1870,589.3
1871,744.7
1872,1083.6
1873,889.3
1874,925.3
1875,1159.5
1876,1112.5
1877,1013.7
1878,1014.2
1879,1032.3
1880,976.6
1881,873
1882,1219.9
1883,894.8
1884,837.8
1885,912.9
1886,1045.7
1887,686.3
1888,893.8
1889,790.7
1890,677.7
1891,1091.7
1892,669.3
1893,695.7
1894,1030.9
1895,813.8
1896,684.2
1897,1005.8
1898,770.6
1899,916.9
1900,900.4
1901,640.5
1902,717.8
1903,1200.7
1904,841.2
1905,670
1906,815.1
1907,948.2
1908,764.5
1909,984.5
1910,1143
1911,805.2
1912,1162.3
1913,847.3
1914,1052.1
1915,1048
1916,1158.7
1917,978.7
1918,1083.8
1919,933.2
1920,907.5
1921,640.2
1922,938.8
1923,888.2
1924,1246.5
1925,905.4
1926,912.1
1927,1054.1
1928,1027.9
1929,1014.2
1930,867.7
1931,839.2
1932,1009.8
1933,693.4
1934,693.8
1935,1084.6
1936,920
1937,832.6
1938,872.2
1939,889.4
1940,860.1
1941,736.8
1942,787.5
1943,774
1944,837.5
1945,770.7
1946,991.7
1947,733
1948,890.8
1949,742.4
1950,907.9
1951,887.4
1952,833.3
1953,674.7
1954,954.6
1955,621.9
1956,638.2
1957,738.8
1958,856.9
1959,779.7
1960,985.8
1961,733.6
1962,634.7
1963,804.9
1964,600.6
1965,887.9
1966,816.2
1967,872.5
1968,854.5
1969,695.1
1970,765.2
1971,881.6
1972,742.2
1973,578.2
1974,885.7
1975,644.6
1976,691.8
1977,828
1978,687.9
1979,887.1
1980,795.8
1981,940.6
1982,929.6
1983,863.9
1984,875
1985,896.4
1986,926
1987,774.4
1988,831.2
1989,808.5
1990,709.8
1991,737.5
1992,883.5
1993,899.2
1994,1046.1
1995,877.2
1996,769.1
1997,896.9
1998,1014.7
1999,1071
2000,1241.9
2001,822.3
2002,1136.7
2003,817.3
2004,911
2005,814.7
2006,929.5
2007,974.3
2008,1018.8
2009,814.1
2010,626
2011,723.1
2012,1315.4
2013,817.9
2014,1060.9
2015,797.6
2016,793
2017,751
2018,782.9
2019,984.6
2020,1090.2
2021,891.1
